attribute,type,unit,description
region,str,n/a,Country code
name,str,n/a,Name
type,str,n/a,Type
carrier,str,n/a,Energy carrier
tech,str,n/a,Technology
bus,str,n/a,The bus this component is connected to
capacity_charge,float,MW,Installed charge capacity
capacity_discharge,float,MW,Installed discharge capacity
storage_capacity,float,MWh,Installed storage capacity
efficiency_charge,float,unitless,Efficiency of charging
efficiency_discharge,float,unitless,Efficiency of discharging
marginal_cost,float,Eur/MWh,Marginal cost of charging/discharging
loss_rate,float,unitless,Losses due to self discharging
expandable,boolean,n/a,Capacity can be expanded
capacity_potential,float,MW,Potential of the investment for capacity
storage_capacity_potential,float,MWh,Potential of the investment for storage capacity
capacity_cost_charge,float,Eur/MW,Annualized investment cost per charging capacity
capacity_cost_discharge,float,Eur/MW,Annualized investment cost per discharging capacity
storage_capacity_cost,float,Eur/MWh,Annualized investment cost per storage capacity
input_parameters,dict,n/a,Optional parameters passed to oemof-solph's input flow
output_parameters,dict,n/a,Optional parameters passed to oemof-solph's output flow 
