attribute,type,unit,description
region,str,n/a,Country code
name,str,n/a,Name
type,str,n/a,Type
carrier,str,n/a,Energy carrier
tech,str,n/a,Technology
bus,str,n/a,The bus this component is connected to
capacity,float,MW,Installed capacity
capacity_cost,float,Eur/MW,Annualized costs of capacity expansion
expandable,boolean,n/a,Capacity can be expanded
capacity_potential,float,MW,Max install capacity if investment
marginal_cost,float,Eur/MWh,Marginal cost
profile,str,,Name of the profile
output_parameters,dict,n/a,Optional parameters passed to oemof-solph's output flow
