attribute,type,unit,description
region,str,n/a,Country code
name,str,n/a,Name
type,str,n/a,Type
carrier,str,n/a,Energy carrier
tech,str,n/a,Technology
from_bus,str,n/a,Bus where link starts
to_bus,str,n/a,Bus where link ends
from_to_capacity,float,MW,Net transfer capacity in defined direction
to_from_capacity,float,MW,Net transfer capacity opposite to defined direction
expandable,boolean,,Capacity can be expanded
capacity_cost,float,Eur/MW,Annualized costs of capacity expansion
loss,float,unitless,Transmission losses
